epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,18969.6,0.35338,0.23096,0.88775,0.96388,0.85802,0.91283,0.85831,0.39138,0.38415,0.9546,0.00307,0.00307,0.00307
142,19103.3,0.34126,0.21997,0.87777,0.96641,0.8548,0.91482,0.85906,0.39104,0.38031,0.95624,0.0030205,0.0030205,0.0030205
143,19237,0.33996,0.22435,0.87796,0.96637,0.85239,0.91587,0.85845,0.39509,0.38086,0.96083,0.002971,0.002971,0.002971
144,19370.8,0.33974,0.22212,0.88041,0.95943,0.85733,0.91892,0.86202,0.39402,0.38055,0.96161,0.0029215,0.0029215,0.0029215
145,19504.4,0.33942,0.22525,0.8802,0.95322,0.86282,0.9207,0.86533,0.39248,0.37935,0.95907,0.002872,0.002872,0.002872
146,19638.2,0.33291,0.22246,0.87942,0.95629,0.85903,0.92008,0.86532,0.38826,0.37019,0.95597,0.0028225,0.0028225,0.0028225
147,19772,0.33875,0.22063,0.87806,0.9598,0.85692,0.91808,0.86352,0.38961,0.37122,0.95885,0.002773,0.002773,0.002773
148,19905.9,0.33808,0.22029,0.8819,0.97119,0.84706,0.91812,0.86512,0.39205,0.37435,0.9684,0.0027235,0.0027235,0.0027235
149,20039.6,0.33364,0.21813,0.87804,0.97366,0.84615,0.91739,0.86288,0.39281,0.36961,0.97134,0.002674,0.002674,0.002674
150,20173.7,0.32718,0.21723,0.87738,0.97547,0.84678,0.91817,0.86378,0.38872,0.368,0.96596,0.0026245,0.0026245,0.0026245
151,20307.6,0.33044,0.21748,0.87823,0.97522,0.84549,0.91662,0.86191,0.39022,0.37185,0.96654,0.002575,0.002575,0.002575
152,20441.2,0.3322,0.22213,0.87674,0.96785,0.85367,0.91711,0.86318,0.3905,0.37499,0.96572,0.0025255,0.0025255,0.0025255
